IFM,Union,Division,Industry,Day_Porter,Custodial,Cleanroom,GMP,Lab,MAC,Maintenance,Landscaping,Recycle,Other,Service_Days,Service_Model,SOW_Type,Trash_Freq,Vacuum_Freq,Restroom_Freq,SOW_Intensity_Range,Account_Size,Total_Supervision_Ratio,Labor_Cost_Score,CSAT,Turnover,Floor_Tech_FTE,CSR_FTE,Lead_FTE,Salary_EE_Count,Hourly_Burden,Mgmt_Burden,Total_Burden,Mobile,Price
5,0,13,5,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,4,3,4,0.64,0.2,0,1,0,0.39,0,0.39,0,0.133
5,0,9,12,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,4,2,4.5,0.615,0,1.1,0,1,0.26,0.26,0.26,0,0.118
1,1,2,1,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,6,4,1.071,0,1,0,0,0.56,0,0.56,0,0.206
4,0,10,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,1,0,4,0,0,0,0,1,0.48,0,0.48,0,0.214
5,0,7,12,1,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,3,4,0,0.1,1.2,0,0,0.13,0,0.13,0,0.154
4,0,3,6,1,1,0,0,0,0,0,0,0,0,5,0,2,4,2,1,1,2,0,5,4,0.333,0,1.9,0,0,0.45,0,0.45,0,0.184
4,1,5,7,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,6,4,0,0,1,0,0,0.64,0,0.64,0,0.131
1,0,7,1,1,1,0,0,0,0,0,0,0,0,5,1,1,3,1,3,2,2,0,3,4,0,0,1,0,0,0.31,0,0.31,0,0.165
1,0,5,7,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,3,4,0,0.6,0,0,0,0.24,0,0.24,0,0.134
4,1,2,7,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,3,3,3,0,0,0,0.7,0,0.15,0,0.15,0,0.227
5,0,5,2,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,3,2,5,0,0.4,0,0,1,0.28,0.2,0.24,0,0.191
1,0,5,1,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,2,4,0.601,0.6,0.6,0,0,0.24,0.24,0.24,0,0.196
5,0,9,3,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,2,4,0,0,1,0,0,0.06,0,0.06,0,0.1
1,0,5,2,0,1,0,0,0,0,0,0,0,0,5,3,2,4,2,1,1,1,3,4,4,0.478,0,0,1.1,0,0.23,0,0.23,0,0.152
5,0,9,3,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,3,4,0.481,0,1.1,0,0,0.2,0,0.2,0,0.1
4,0,5,7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0.125
5,0,13,5,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,2,4,0,0.7,1,0,0,0.24,0,0.24,0,0.141
1,0,10,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0.233
5,0,10,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0.05,0,0.05,0,0.121
4,0,5,7,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,2,4,0,0,1.4,0,0,0.1,0,0.1,0,0.199
3,1,3,10,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,6,2,4.75,0,0,1,0.4,0,0.25,0,0.25,0,0.137
5,0,5,7,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,4,2,4,0.811,0.9,0,0.9,0,0.23,0,0.23,0,0.206
5,0,5,12,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,4,3,5,0.228,0,0.9,0.7,0,0.24,0,0.24,0,0.157
5,0,1,3,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,2,3,4.25,0,0,0.6,1,0,0.1,0,0.1,0,0.102
5,1,1,7,1,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,0,4,5,0,0,1,0,0,0.55,0,0.55,0,0.175
1,1,2,1,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,5,4,0,0,0.8,0,0,0.19,0,0.19,0,0.135
5,0,1,1,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,3,2,4,0,0,0.2,0.8,0,0.26,0,0.26,0,0.112
4,0,5,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,4,2,5,0,0,0,0.7,0,0.26,0,0.26,0,0.147
1,0,9,7,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,2,3,4,1.558,0,0,1.2,0,0.25,0,0.25,0,0.115
1,0,3,11,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0.139
4,0,3,2,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,2,3,4,0,0,1,1,0,0.15,0,0.15,0,0.178
1,0,13,1,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,3,2,5,0,0,0,1,0,0.35,0,0.35,0,0.227
4,0,7,7,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,0,3,4,0,0,0,0,0,0.33,0,0.33,0,0.163
5,0,5,7,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,3,1,2.5,0.817,0,0,1.2,0,0.19,0,0.19,0,0.246
5,0,13,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,2,4,0,0,0,0,0,0.25,0,0.25,0,0.113
1,0,5,8,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,2,3,4,0.312,0,0,1,0,0.24,0,0.24,0,0.142
4,0,13,7,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,32,2,2.75,0,0.8,0,0.1,0,0.1,0,0.1,0,0.117
1,1,13,8,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3,4,0,0,0,0,0,0.08,0,0.08,0,0.145
5,0,10,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1,0,4,0,0,0,0,1,0,0,0,0,0.22
5,0,5,5,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,3,4.75,0,0,0,0,0,0.24,0,0.24,0,0.158
3,0,2,10,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0.2
5,0,5,3,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,5,4,0,0,0,0,0,0.25,0,0.25,0,0.1
1,0,5,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,2,5,0,0,0,0,0,0.34,0,0.34,0,0.247
5,0,5,2,1,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,3,4,0,0,0,0,0,0.13,0,0.13,0,0.182
5,0,5,3,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1,2,4,0,0,0,1.1,0,0.11,0,0.11,0,0.132
1,0,13,1,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,16,2,4,0.889,0,0.1,0.1,0,0.09,0,0.09,0,0.171
4,0,1,1,0,1,0,0,0,0,0,0,0,0,5,1,1,3,5,1,1,1,0,2,5,0.752,0,0,0,0,0.15,0,0.15,0,0.154
4,0,5,7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0.176
1,1,16,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,5,4,0,0,0.6,0,0,0.49,0,0.49,0,0.107
5,0,2,12,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,4,4,0,0,0,0,0,0.32,0,0.32,0,0.235
5,1,13,2,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,3,5,0,0,1,0,0,0.26,0,0.26,0,0.132
1,0,6,2,0,1,0,0,0,0,0,0,0,0,5,1,2,4,1,2,2,1,0,1,4.5,1.124,0,0,0,0,0.36,0,0.36,0,0.156
4,1,7,5,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,50,3,4,0,0,1,0,0,0.31,0,0.31,0,0.218
4,1,13,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,2,4,0,0,0,0,0,0.12,0,0.12,0,0.119
4,0,10,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0.11,0,0.11,0,0.125
4,0,10,11,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,-0.01,0,-0.01,0,0.107
1,1,1,6,0,1,0,0,0,0,0,0,0,0,5,0,2,4,2,1,1,1,0,3,4.75,0,0,0,0,0,0.33,0,0.33,0,0.131
4,1,13,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,50,4,4,0,0,0,0,0,0.19,0,0.19,0,0.197
5,0,7,3,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,3,4,0,0,0,0,0,0.13,0,0.13,0,0.23
1,0,14,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0.118
4,0,13,7,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,1,5,0,0.1,0,0,0,0.08,0,0.08,0,0.15
1,0,5,6,0,1,0,0,0,0,0,0,0,0,6,0,2,4,2,1,1,1,0,1,4,0,0,0,0,0,0.2,0,0.2,0,0.187
1,0,5,1,0,1,0,0,0,0,0,0,0,0,5,1,2,4,5,6,0,1,0,4,4.75,1,0,0,0,0,0.25,0,0.25,0,0.135
1,0,7,4,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,7,5,0,0,0,0,0,0.53,0,0.53,0,0.2
1,0,7,1,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,3,5,0,0,0,0,0,0.41,0,0.41,0,0.15
1,0,5,6,0,0,0,0,0,0,0,0,0,0,5,0,2,4,2,1,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0.113
1,0,5,1,0,1,0,1,0,0,0,0,0,0,6,1,2,4,5,6,0,1,0,3,5,0,0,0,0,0,0.22,0,0.22,0,0.175
5,0,5,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,4.75,0,0,0,0,0,0,0,0,0,0.1
1,0,7,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,3,5,0,0,0,0,0,0.44,0,0.44,0,0.113
5,0,9,6,0,0,0,0,0,0,0,0,0,0,5,0,2,4,2,1,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0.173
1,0,3,9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,4,0,0,0,0,0,0.35,0,0.35,0,0.203
1,0,5,6,0,1,0,0,0,0,0,0,0,0,5,0,2,4,2,1,1,1,0,1,4,0,0,0,0,0,0.18,0,0.18,0,0.127
4,0,3,6,0,0,0,0,0,0,0,0,0,0,5,0,2,4,2,1,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0.202
4,0,5,7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0.201
4,0,13,13,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,3,4,0,0,0,0,0,0.09,0,0.09,0,0.139
