IFM,Union,Division,Industry,Day_Porter,Custodial,Cleanroom,GMP,Lab,MAC,Maintenance,Landscaping,Recycle,Other,Service_Days,Service_Model,SOW_Type,Trash_Freq,Vacuum_Freq,Restroom_Freq,SOW_Intensity_Range,Account_Size,Total_Supervision_Ratio,Labor_Cost_Score,CSAT,Turnover,Floor_Tech_FTE,CSR_FTE,Lead_FTE,Salary_EE_Count,Hourly_Burden,Mgmt_Burden,Total_Burden,Mobile,Price
1,1,5,2,1,1,0,1,0,0,0,0,0,0,5,1,2,4,2,2,2,3,7,3,4.16,0.377,1,2.6,1.5,2,0.37,0.42,0.38,0,0.191
4,1,5,2,1,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,3,12,6,4.75,0.09,1.3,5.1,0.9,1,0.27,0.26,0.27,0,0.18
5,0,5,3,1,1,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,3,10,2,4,0.494,1.3,1.9,2.3,1,0.2,0.21,0.2,0,0.201
1,1,16,1,1,1,1,0,0,0,0,0,1,0,6,1,2,3,1,3,2,3,10,6,4.1,0.352,1.2,2.9,1,1,0.59,0.62,0.6,0,0.125
4,1,5,7,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,10,6,4,0,0.7,4.5,1,1,0.63,0.65,0.63,0,0.142
1,1,3,7,1,1,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,3,4,3,4,0.529,1.4,0,1.6,4,0.27,0.28,0.28,0,0.192
5,0,1,5,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,7,3,4.5,0.329,0,0,1.7,1,0.35,0.35,0.35,0,0.18
1,0,10,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0.22,0,0.22,0,0.132
1,1,17,2,1,1,0,0,0,0,1,0,0,0,5,1,2,4,1,2,2,3,11,6,4.75,0,0.8,5.8,0.7,1,0.68,0.69,0.68,0,0.163
1,0,13,1,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,8,2,4,1.034,4.8,10.8,4,0,0.2,0,0.2,0,0.112
1,1,16,1,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,6,6,4,0,0,1.3,1.1,1,0.47,0.46,0.47,0,0.229
1,0,5,2,1,1,0,0,0,0,1,0,1,0,5,1,2,4,2,2,2,3,6,4,4.5,0.099,1.7,1.7,2.2,1,0.3,0.32,0.31,0,0.152
3,1,9,10,1,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,3,3,2,4.5,0.44,0,2,3.6,2,0.2,0.2,0.2,0,0.176
1,1,2,1,1,1,0,0,0,0,0,0,1,0,5,1,2,2,5,2,2,3,12,8,4.5,0.081,0,2.9,0,1,0.74,0.76,0.74,0,0.196
5,1,13,9,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,8,3,4,0,1.4,0,1,2,0.24,0.19,0.23,0,0.152
1,1,2,1,1,1,0,0,0,0,0,0,0,0,5,1,1,3,1,3,2,3,5,7,3.6,0.889,1.1,2.1,1.2,1,0.64,0.63,0.64,0,0.183
5,1,5,7,1,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,3,8,4,4,0,0,1.9,0.9,1,0.25,0.31,0.26,0,0.152
1,1,17,2,1,1,0,0,0,0,0,0,0,0,5,1,2,4,1,2,2,3,6,4,3.75,0.313,1.4,3.3,1.6,1,0.52,0.52,0.52,0,0.147
1,1,5,8,1,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,3,9,4,5,0.68,0.9,2.9,2,0,0.42,0.39,0.42,0,0.119
5,0,10,11,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,1,0,4,0,0,0,0,3,0.35,0,0.35,0,0.135
5,0,13,5,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,9,2,5,0.155,1.9,0,1,1,0.12,0.12,0.12,0,0.141
1,0,5,5,1,1,0,0,0,0,0,0,0,0,5,0,2,4,5,2,2,3,4,3,4.88,0.473,1.5,1.9,4,1,0.26,0.26,0.26,0,0.146
1,0,6,2,0,1,0,0,0,0,0,0,0,0,6,1,2,4,1,2,2,3,6,1,4.75,0.398,0,0,2.1,3,0.33,0.33,0.33,0,0.198
